iter	Passed	Remaining
455	938	3177
456	940	3175
457	942	3172
458	944	3169
459	946	3167
460	947	3164
461	949	3161
462	951	3159
463	953	3156
464	955	3154
465	957	3152
466	959	3149
467	961	3147
468	963	3144
469	965	3141
470	966	3138
471	968	3136
472	970	3133
473	972	3130
474	974	3127
475	976	3125
476	977	3122
477	979	3119
478	981	3116
479	983	3114
480	985	3113
481	987	3110
482	989	3108
483	991	3105
484	993	3102
485	994	3099
486	996	3096
487	998	3094
488	1000	3091
489	1002	3088
490	1004	3085
491	1006	3083
492	1007	3081
493	1009	3078
494	1011	3075
495	1013	3073
496	1015	3070
497	1017	3067
498	1018	3065
499	1021	3063
500	1022	3060
501	1024	3058
502	1026	3055
503	1028	3053
504	1030	3051
505	1032	3049
506	1034	3046
507	1036	3044
508	1038	3041
509	1040	3038
510	1041	3036
511	1043	3033
512	1046	3032
513	1048	3030
514	1050	3028
515	1052	3026
516	1054	3023
517	1056	3021
518	1058	3019
519	1059	3016
520	1061	3014
521	1063	3012
522	1065	3010
523	1067	3007
524	1069	3005
525	1072	3004
526	1074	3002
527	1076	2999
528	1077	2997
529	1079	2995
530	1081	2992
531	1083	2990
532	1085	2987
533	1087	2985
534	1089	2982
535	1091	2980
536	1093	2977
537	1095	2975
538	1096	2973
539	1098	2970
540	1100	2968
541	1102	2966
542	1104	2964
543	1106	2962
544	1108	2959
545	1110	2957
546	1112	2954
547	1114	2952
548	1116	2949
549	1117	2947
550	1119	2944
551	1121	2942
552	1123	2939
553	1125	2936
554	1127	2934
555	1128	2931
556	1130	2929
557	1132	2927
558	1134	2924
559	1136	2922
560	1138	2919
561	1139	2916
562	1141	2914
563	1143	2911
564	1145	2909
565	1147	2907
566	1149	2905
567	1151	2903
568	1153	2900
569	1155	2898
570	1157	2896
571	1159	2893
572	1161	2891
573	1163	2889
574	1164	2887
575	1166	2884
576	1168	2882
577	1170	2880
578	1172	2877
579	1174	2874
580	1176	2872
581	1178	2870
582	1179	2868
583	1181	2865
584	1183	2863
585	1185	2861
586	1187	2858
587	1189	2856
588	1191	2854
589	1193	2852
590	1195	2849
591	1197	2847
592	1198	2844
593	1200	2842
594	1202	2840
595	1204	2838
596	1206	2835
597	1208	2833
598	1210	2831
599	1212	2828
600	1214	2826
601	1216	2824
602	1218	2822
603	1220	2819
604	1222	2817
605	1224	2815
606	1226	2814
607	1228	2812
608	1230	2810
609	1232	2808
610	1234	2806
611	1236	2804
612	1238	2801
613	1240	2799
614	1241	2796
615	1243	2794
616	1245	2791
617	1247	2789
618	1250	2788
619	1253	2790
620	1256	2791
621	1258	2788
622	1260	2786
623	1262	2783
624	1264	2781
625	1266	2779
626	1268	2776
627	1270	2775
628	1272	2774
629	1274	2771
630	1276	2769
631	1278	2766
632	1280	2764
633	1282	2762
634	1284	2760
635	1286	2758
636	1287	2755
637	1289	2753
638	1291	2750
639	1293	2748
640	1295	2745
641	1297	2744
642	1299	2742
643	1301	2739
644	1302	2737
645	1304	2735
646	1307	2733
647	1308	2731
648	1310	2728
649	1313	2727
650	1315	2725
651	1316	2722
652	1319	2720
653	1320	2718
654	1322	2716
655	1324	2714
656	1326	2712
657	1329	2710
658	1330	2708
659	1333	2706
660	1335	2704
661	1337	2702
662	1339	2700
663	1341	2698
664	1343	2696
665	1344	2694
666	1346	2691
667	1348	2689
668	1350	2686
669	1352	2684
670	1354	2682
671	1356	2680
672	1358	2678
673	1360	2676
674	1362	2674
675	1364	2671
676	1365	2669
677	1367	2666
678	1369	2664
679	1371	2662
680	1373	2660
681	1375	2657
682	1377	2655
683	1379	2653
684	1381	2651
685	1382	2648
686	1384	2646
687	1386	2644
688	1388	2642
689	1390	2640
690	1392	2638
691	1394	2635
692	1396	2633
693	1398	2631
694	1400	2629
695	1402	2627
696	1404	2624
697	1405	2622
698	1407	2619
699	1409	2617
700	1411	2615
701	1413	2613
702	1415	2610
703	1417	2608
704	1418	2606
705	1420	2603
706	1422	2601
707	1424	2599
708	1426	2597
709	1428	2595
710	1430	2593
711	1432	2591
712	1434	2589
713	1436	2587
714	1438	2584
715	1440	2582
716	1441	2580
717	1443	2577
718	1445	2575
719	1447	2573
720	1449	2571
721	1451	2568
722	1453	2566
723	1454	2564
724	1456	2561
725	1458	2559
